created_at,text
Sun Sep 01 05:35:39 +0000 2013,#morefun u can't be a snitch n hang out wit mark 24 hourz #JackBauer #jailbait
Sat Aug 31 18:20:34 +0000 2013,Nor any 23 y/o that would continue to see someone after finding out they were 16 #jailbait #PLL
Sat Aug 31 18:20:46 +0000 2013,cumsoline: It’s always funny to see people’s reactions when I tell them I’m 17. #jailbait http://t.co/4t4H1U4xgn
Sat Aug 31 07:25:16 +0000 2013,RT @GMayne94: @t_raww_7 jailbait..
Sat Aug 31 23:01:52 +0000 2013,"I ain't complainin' the BitchsBrew
There a lover who never knew shes Jailbait
Steep the chase call the sweat
You steep the feet oh Jailbait"
Sat Aug 31 19:59:46 +0000 2013,RT @Iain_MLaughlin: These girls should call themselves the Yewtree Dolls #jailbait
Sat Aug 31 19:54:46 +0000 2013,Naa jailbait
Sat Aug 31 19:41:47 +0000 2013,This episode of #XFactor is jailbait
Fri Aug 09 15:08:11 +0000 2013,"@bankofamerica charged with fraud by @SEC_News on RMBS. I wonder how the corporate charter will do in prison.
#JailBait"
Sat Aug 10 05:14:51 +0000 2013,hey jailbait calm down
Fri Aug 09 06:35:37 +0000 2013,"""America loves hot white jailbait ass"" 😂😂😂 bruuuh"
Fri Aug 09 11:57:41 +0000 2013,"RT @OliviaViolet120: If you see a hot 16-year-old with a baby, does that mean she is a MILF or Jailbait?"
Sat Aug 10 02:43:02 +0000 2013,RT @dirtyteens: #FriskyFriday #JailBait @Septawangsa @DRTYFUKNBASTARD @jaysmithy123 @teencum @Sexy_selfshot @Wingsoflovefan http://t.co/9SW…
Sat Aug 10 02:35:21 +0000 2013,"#quinceañera #XVaños #AdelaNoriega #Vegas #swag #jailbait Rulopanda, The real slim shady https://t.co/psDCyyc5Tv"
Sat Aug 10 02:40:25 +0000 2013,RT @PartiesGuilty: Rt if you're jealous of my weekend. #handbra #jailbait #teen #selfie #mirrormonday #titsouttuesday #Tittytuesday http://…
Sat Aug 10 02:41:41 +0000 2013,RT @PartiesGuilty: Teen tits in the mirror #handbra #jailbait #teen #selfie #mirrormonday #titsouttuesday #sexy #Tittytuesday http://t.co/o…
Fri Aug 09 21:49:08 +0000 2013,RT @dirtyteens: #FriskyFriday #JailBait @Septawangsa @DRTYFUKNBASTARD @jaysmithy123 @teencum @Sexy_selfshot @Wingsoflovefan http://t.co/V3a…
Sat Aug 10 00:09:06 +0000 2013,Ridiculous how young girls take photos of themselves with their boobs hanging out just for likes on facebooks #JailBait
Fri Aug 16 22:27:23 +0000 2013,@IKM218 LEN LOOKS LIKE JAILBAIT I'M SO DONE
Sat Aug 17 05:24:51 +0000 2013,"I wore leopard headbands, Harry potter shirts, and cream colored capris just about everyday in elementary school. #jailbait"
Sat Aug 17 05:25:42 +0000 2013,@jailbaiting o so romantic
Fri Aug 16 18:37:57 +0000 2013,"RT @CallMe_Papa: 9. If she's never heard of Tang, she's definitely jailbait."
Fri Aug 16 18:40:06 +0000 2013,"RT @Burek_Durek: Bitch is 13 looking like she's 20 smh, jailbait and a half"
Fri Aug 16 12:20:54 +0000 2013,"didn't realise Welly had turned into a crèche full of stuck up jailbait, never been so ANGRY in my life!!!! BRING ON SUGARMILL TONIGHT...."
Sat Aug 17 01:11:52 +0000 2013,Everybody jailbait
